id,stratum,outcome,cost,witness,rationale
1360-r3-3,A,HOLDS,N/A,docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:51,"The Fable-5 disposition reads ""COVERAGE WIDENED, STILL INSUFFICIENT FOR A THRESHOLD"" at line 51, not ""PARTLY ANSWERED"". The line explains the label was chosen ""on the round-3 seat's point that «PARTLY ANSWERED» signals more resolution than one unreplicated source can carry""."
1341-r7-1,A,HOLDS,N/A,tests/install-sh/glm-onebutton.test.sh:687-700,"Guard-the-guard asserts /chat request: lines 687-700 show guard checks for POST /chat specifically, not just non-empty capture. Comment at 687-694 explains ""guard has to establish that step D's completion request is actually in the capture — not merely that the capture is non-empty."" Uses grep pattern matching /chat token (line 695)."
1341-r7-2,A,HOLDS,N/A,tests/install-sh/glm-onebutton.test.sh:706-738,"Paired-negative tests real discrimination: lines 706-738 show mutation test that injects actual leak value into helper copy and runs against SAME capture stub. Comment at 707-710 explains ""has to exercise the REAL path: an earlier version wrote a leak-shaped string to a temp file and grepped it back, which proved that grep works."""
1341-r7-3,A,HOLDS,N/A,scripts/getff-glm-onebutton.sh:532-538,"Zero-usage gate fails closed on non-numeric: lines 532-538 use case statement to reject non-integer values before comparison. Comment at 524-531 explains ""case statement...because [ -le ] errors on non-numeric"" and ""12.5 is valid JSON but [ -le ] errors on it identically, so it must not reach the comparison."""
1341-r7-4,A,HOLDS,N/A,tests/install-sh/glm-onebutton.test.sh:775-782,"Meta-scanner population includes caseless stub: comment at lines 775-782 explicitly widens population beyond case-based stubs to include ""CASELESS stub — curl() { return 0; }"" because ""scanner's declared population was case-based stubs only, so this shape was invisible to it; the file carried one (the preflight stub)."""
1341-r7-5,A,HOLDS,N/A,docs/meta-factory/research-patches/2026-08-08-s4-glm-onebutton-entry-verification.md:250-257,"Research-patch addendum header corrected: lines 250-257 show provenance now cites commit 3bf1d18ce9 (2026-08-10) that added the addendum, not commit 34ccc8cece that the section describes. Comment explains ""heading previously read (run-5, commit 34ccc8cece), naming the commit the section was about rather than the commit that added it: a stale provenance label."""
1341-r7-6,D,DECLINED,NONE-FOUND,docs/meta-factory/research-patches/2026-08-08-s4-glm-onebutton-entry-verification.md:248-258,"Divergence accepted and documented: research patch at lines 248-258 records ""SUPERSEDING ADDENDUM — three statements above are now false"" with explicit acceptance that routing through aif's own /chat meets stated purpose while keeping §2 constraint 1 intact. This is the formal record of the accepted divergence described in the finding itself."
1376-td1-1,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:298,"Spec §5 states layer/whose axes ship explicitly labeled 'judgment-only, not corpus-validated' (r1 TD BLOCKER-1), and §3 three-axis labeling plus §5 per-axis bars addressed the measurement gap; corpus README confirms whose axis is judgment-only at 90.1% reviewer dominance."
1376-td1-2,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:254-258,"C0 redefined as orig_grade mapping per spec §4 (r1 TD BLOCKER-2), with scenario-presence excluded as bench bar and expected strength 0.8-0.9; acceptance rule now uses McNemar test and binomial CI for noise floor per §5."
1376-td1-3,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:309-311,Spec §5b.1 records provenance sharing honestly - 'every labeler and every candidate is a Claude-family seat reasoning from the same ratified yardstick' and 'the only fully independent anchor is the operator slice (§3.5)'; §3.5 stratified slice implemented with 22 rows (5 from disputed/material-b stratum per kickoff-s3.md §2).
1376-td1-4,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:314-316,"Spec §5b.2 records construct validity gap - 'bench judges decontextualized rows; deployed seats judge with the full diff in context, often their OWN findings (self-grading)' with live detectors named (L5 morning review + materiality-dispute rate + periodic audit-mold re-measurement)."
1376-td1-5,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:177-185,"Spec §2 anti-leakage extraction contract with grade-strip normalization, provenance-substring probe, and grade-token scan as S1 DoD; corpus README shows 6-file union probe passed with 0 failures."
1376-td1-6,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:288-291,"Spec §5 now includes pass rule with McNemar test and CI on paired difference (r2 NEW-m1), with minimum detectable effect ~±9pp at n≈120; MATERIAL-miss measured against C0's own miss-rate per §5."
1376-td1-7,B,HOLDS,N/A,"docs/meta-factory/triage-corpus/README.md:21,24","Corpus README §Files lists arch-reviews.csv rows=44 as 'S1: 44 review-report rows — design-layer findings extracted from sources/ (top-down-r1 · bottom-up-r1 · r2-verify · fidelity-r1), PR #1376' implementing r1 TD MAJOR-5 fix."
1376-td1-8,B,HOLDS,N/A,.claude/orchestrator-prompts/triage-kernel-v2/kickoff-s3.md:33-39,Spec §3.5 stratified slice implemented per kickoff-s3.md §2: '22 rows = 5 disputed/material-b stratum + 5 random agreed + 5 advisor-overridden + all 7 then-FLOOR rows' with operator disputed 4/22 (18.2%) below escalation bar.
1376-td1-9,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:223-225,"Spec §3.4 journal segregation: corpus-adjudication verdicts land in segregated section tagged 'class: corpus-adjudication', EXCLUDED from journal-volume door per r1 TD MAJOR-7 fix; D-K4 volume door now applies to live-consult entries only."
1376-td1-10,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:380-415,"Spec §9 stage plan table includes L4 budget column per stage (r1 TD MAJOR-8), with rough orders of magnitude for S0-S5; P6 'cheap' condition recorded in §10 but without numeric estimate."
1376-td1-11,B,HOLDS,N/A,"docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:300-302,457-462",Spec §5 records asymmetry: 'a missed MATERIAL is a defect escaping toward consumers; a false MATERIAL costs one visible round'; §5b.3 states 'inverse population is out of reach' and D-K5 falsifier covers both directions (over-flagging AND defect suppression).
1376-td1-12,B,MOVED,NONE-FOUND,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:530-533,"Finding routed as ESCALATED-1 per spec §13 (proportionality of THIS scale of measurement) and RESOLVED at operator gate 2026-08-11 to 'probe-first' approach (S0: ~30 stratified rows, C1 vs C0) - moved from full corpus to cheaper probe per §9 S0."
1376-td1-13,B,MOVED,NONE-FOUND,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:530-533,Finding routed as ESCALATED-2 (null result worth full corpus cost) and RESOLVED at operator gate 2026-08-11 to same 'probe-first' approach - moved from full 5-stage corpus to ~30-row probe per §9 S0.
1376-td1-14,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:40-41,Spec §0 now cites 'pr-body-fidelity.ts:212' (corrected from :165) for head-prefix check; stale cite fixed per r1 TD MINOR-1 / BU N1 disposition in spec §13.
1376-td1-15,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:202-203,Spec §3.2 agreement metrics include 'Cohen's κ plus raw agreement and PABAK (r1 TD MINOR-2: κ's prevalence paradox)' published in corpus README - prevalence paradox guarded by PABAK reporting.
1376-td1-16,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:383,Spec §9 S1 pre-flight includes 'docs-gate pre-flight: principle 09 + doc gates on the new folder — first tracked CSV under docs/' (r1 TD MINOR-3) - first tracked CSV now explicitly gated.
1376-td1-17,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:486-496,Spec §12b self-application section added (r1 TD MINOR-4): 'The spec's own discipline applied to itself' with two cold reviews running ESCALATED rung; corpus includes contour's own review population.
1376-td1-18,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:201,"Spec §3.1 states 'S1 never pre-fills judgment axes (r1 TD MINOR-5): layer/whose have no _start' - S1 ownership clarified as cold blind labeling only, judgment axes filled at S2 per design."
1376-bu1-1,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:165-171,"Binary vocabulary defined: MATERIAL/IMMATERIAL for class_final, with MATERIAL-b only in class_start, OUT-OF-CONCEPT and FLOOR mapped to whose_final axis - §2 vocabulary mapping + §3.3 adjudication routes resolve MAJOR-1's three-vocabulary conflict"
1376-bu1-2,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:172-184,"Anti-leakage extraction contract implemented: grade-strip normalization, provenance-substring probe, grade-token scan prevent audit Basis leakage - S1 DoD includes deterministic two-arm leakage probe"
1376-bu1-3,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:122-130,"Disjoint file populations enforced: audit-1369.csv (~104 rows MINUS #1341 R7 rows) and s4-round7.csv (the 6 R7 rows) are separate by round-split construction, S1 DoD includes cross-file uniqueness check"
1376-bu1-4,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:386-387,"SSOT entry and capability commit both in S4: promptfoo devDependency + Prior-art trailer + SSOT entry (id≥250) land in SAME S4 commit per §9 stage table, SSOT entry #250 confirmed live"
1376-bu1-5,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:132-134,"TD-M3 sources dual-cited: session-bus-v2 §14 row TD-M3 AND advisor-pattern-design §0/§11 second instance, corpus README confirms both rows in td-m3.csv (2 rows, author-cell provenance)"
1376-bu1-6,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:40-42,"Line reference updated from :165 to :212 after PR #1374 - spec §0 now correctly cites pr-body-fidelity.ts:212 for Audited-SHA prefix requirement, MINOR N1 fixed in place"
1376-bu1-7,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:41-43,"Three-vs-four inconsistency documented: spec says S4 under-graded three (audit prose), table shows four - §0 records upstream inconsistency explicitly, S1 counts from table"
1376-bu1-8,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:208-211,"UNRECOVERABLE route added: §3.3 provides advisor confirm-or-override route for class_start=UNRECOVERABLE rows to reach class_final, r2 NEW-M3 fix documented"
1376-bu1-9,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:395-396,"Exit routing clarified: decided at arch/SKILL.md §3 exit step (this spec's §3 referent corrected), r1 BU N4 fixed in §9 table note"
1376-bu1-10,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:140-141,"Per-spec locators implemented: §2 cites advisor §11/§11b, session-bus-v2 §14, night-v3 §13+§13b as disposition changelog sources, r1 BU N5 fixed with explicit per-spec section numbers"
1376-bu1-11,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:387,"S5 ownership handoff documented: reviewer-discipline.md is maintainer-owned, the operator-gated landing PR IS the explicit handoff (precedent #1374), r1 BU N6 resolved"
1376-bu1-12,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:356-361,"FIXED addition documented: §7 records that FIXED is this spec's addition beyond upstream advisor-pattern-design sentence (which named only ACCEPTED/DISSOLVED/ESCALATED), grounded in live use"
1376-r2v-1,B,HOLDS,N/A,"docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:177-190,542",Grade-strip normalization (line 177-181) plus grade-token scan (line 189-190) implemented in spec §2 and referenced in §13 disposition as FIXED (line 542); corpus README shows 6-file probe passed with 0 failures; triage-corpus-probe.mjs implements stripGrades function scanning for BLOCKER|MAJOR|MINOR tokens and finding-ID patterns
1376-r2v-2,B,HOLDS,N/A,"docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:185-188,544","Probe re-based on provenance-substring check (line 185-188) replacing the fixed phrase grep that failed on correctly-built rows; §13 disposition explicitly FIXED (line 544) noting ""probe re-based on the provenance-substring check, phrase list dropped with reason""; kickoff-s1.md §3 implements the two-arm probe with substring verification"
1376-r2v-3,B,HOLDS,N/A,"docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:135-152,546-550","§2 arch-reviews.csv re-cut to tracked full review reports (line 135-142) with sources/ pre-step; provenance field added (line 154-156); author-cell rows excluded from S2/bench (line 146-149, 198, 326-330); §13 disposition FIXED (line 546-550) details the provenance field and arch-reviews re-cut; corpus README shows both files as author-cell with under-powered honesty"
1376-r2v-4,B,HOLDS,N/A,"docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:208-211,551","§3.3 UNRECOVERABLE route added (line 208-211) giving advisor confirm-or-override path to class_final; §13 disposition FIXED (line 551) confirms ""§3.3 advisor confirm-or-override route""; triage-s3-agreement.mjs script implements the unrecoverable route (line 107) with adjudication path handling"
1376-r2v-5,B,HOLDS,N/A,"docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:563-568,576-578","Gate note replaced (line 563-568) stating ""E2 is SHARPENED, not softened"" and explaining C0 now pre-reads strong (0.8-0.9); operator gate resolution (line 576-578) confirms E1/E2 RESOLVED to probe-first approach buying the null at 1/10 the price; note carries effort-worthiness §1 both ways as required"
1376-r2v-6,B,HOLDS,N/A,"docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:288-291,556","§5 pass rule added (line 288-291) with explicit decision rule: ""the CI on the paired difference must exclude zero (equivalently McNemar p < α); the rule FORM is statute, α/CI-level are config""; §13 disposition FIXED (line 556) confirms ""§5 pass rule (CI excludes zero — form statute, values config)""; bench report applies the rule with discordant-pair counts and binomial CI"
1376-r2v-7,B,HOLDS,N/A,"docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:563-565,556","Gate note (line 563-565) explicitly restates ""E1 carries effort-worthiness §1 both ways — whoever keeps the full 5-stage scale must state what breaks if the ~30-row probe replaced it and what learning-in-practice costs instead""; §13 disposition (line 556) confirms ""E1 summary dropped its effort-worthiness ground — FIXED in the gate note below"""
1376-r2v-8,B,HOLDS,N/A,"docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:223-225,374-376,557","§3.4 attribution corrected (line 223-225) naming D-K4 as the volume door trigger; §8.3 (line 374-376) states D-K4 falsifier closes D-AP4's own falsifier; §13 disposition FIXED (line 557) confirms ""D-AP4 mis-credited with the volume door — FIXED: §3.4 / §8.3 / D-K4 attribution""; corpus shows segregation implemented with corpus-adjudication class tag"
1376-r2v-9,B,HOLDS,N/A,"docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:383,558","§9 S1 table (line 383) corrected to ""mid tier"" with parenthetical ""verbatim-matching ~104 findings across ~13 PR bodies is a reading task, not mechanical""; §13 disposition FIXED (line 558) confirms ""S1 '~0 mechanical' mis-tiered — FIXED: §9 S1 mid tier + honest estimate""; kickoff-s1.md line 4-5 executor tier field reflects mid tier Opus assignment"
1376-fid1-1,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:111-112,"Round 2 repair added ""and it enters only at S1-S5 scale-up — the S0 probe runs on the plain scorer, no dependency added (gate 2026-08-11)"" to both §1:111-112 and §4:240-241; verified present at HEAD commit 2ed2f7fc33; risk direction closed by explicit ""no dependency added"""
1376-fid1-2,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:443,"Round 2 repair inserted ""Gate 2026-08-11: the fallback scorer is the S0 probe's PRIMARY; promptfoo enters at scale-up only"" between Grounds and Falsifiers in D-K3; decision record and stage plan now consistent; verified present at HEAD"
1376-fid1-3,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:448-450,"Round 2 repair added explicit pointer ""(The mandate's cheap devil's-advocate layer stays parked upstream at advisor-pattern-design D-AP6 — not a candidate here.)""; link target exists and contains the falsifier that gates it; verified present at HEAD"
1376-fid1-4,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:499-500,"Round 2 repair corrected filenames to top-down-r1.md and bottom-up-r1.md; verified against actual files in docs/meta-factory/triage-corpus/sources/ which contain exactly these three files (top-down-r1.md, bottom-up-r1.md, r2-verify.md); §13 now matches on-disk reality with added ""on-disk filenames"" note"
1376-fid1-5,B,HOLDS,N/A,docs/superpowers/specs/2026-08-10-triage-kernel-v2-design.md:382,"S0 probe was implemented per commit 7daf16a155 creating s0-probe.csv (32 operator-adjudicated rows) and corpus README confirming grade-strip + provenance contract at probe scale; design spec §9 S0 row explicitly states ""grade-strip + provenance contract §2 applies at probe scale""; S0 is itself a micro corpus-assembly as the report found; fully implemented and present"
kl-1292-1,A,HOLDS,NONE-FOUND,.claude/orchestrator-prompts/getff-freshness-widening-s1/kickoff.md:279,"Decision recorded in research patch §9: Option A (every lane records DEPENDENCY version) decided by operator 2026-08-08. Implementation landed via PR #1333 (commit 4f68ed560a): all three shell lanes (45-python.sh:660-668, 46-cargo.sh:240-249, 47-go.sh:207-218) now READ generation-context.json and derive version from manifest; npm lane already honored this (install.ts:95 version:plan.version). Tests enforce both directions: dependency bump→version differs (rules-lock-version-diff.test.sh:26-38) and consumer project bump→version does NOT differ (rules-lock-version-diff.test.sh:39-61), confirming Option A semantics. Current state validates that lanes now agree: version=null means no manifest/named dependency, not project own version."
kl-1296-1,C,MOVED,NONE-FOUND,docs/meta-factory/research-patches/2026-08-08-rules-lock-version-semantics-fork.md#9,"Cited path .claude/orchestrator-prompts/getff-freshness-widening/kickoff-s1.md does not exist; the kickoff was split per-stage and lives at getff-freshness-widening-s1/kickoff.md. The RulesLock.version decision record is alive and well in research-patch §9 (Option A decided 2026-08-08), cross-referenced from the S1 kickoff rev 2 at lines 10-11, and resolved into the current kickoff rev 6 which fully incorporates the decision."
kl-1305-1,C,MOVED,NONE-FOUND,".claude/orchestrator-prompts/getff-freshness-widening-s1/kickoff.md:14-15,287-301","The cited path in the finding (.claude/orchestrator-prompts/getff-freshness-widening/kickoff-s1.md) reflected the pre-per-stage-split structure. The actual artifact lives today at getff-freshness-widening-s1/kickoff.md (the umbrella adopted per-stage kickoffs). PR #1305 (commit 7beecfe5a6, 2026-08-08) recorded the operator's decisions on the three remaining S1 parks: PARK-S1-1 → staged-A (line 287-290), PARK-S1-2 → Option C (line 291-294), PARK-S1-4 → refined-A (line 295-301). Summary at line 14-15. The decisions remain present and unmodified in the current tree (file verified 323 lines, last modified Aug 16 17:13). Substance is HOLDS at the new path; this is MOVED per the stratum C three-probe discipline."
kl-1315-1,C,MOVED,N/A,.claude/orchestrator-prompts/getff-freshness-widening-s1/kickoff.md:66-99,"PR #1315 (rev 4, commit 76bc164d07) added the two omitted permitted-files entries to §2: docs/meta-factory/prior-art-evaluations.md (lines 78-80) and .github/workflows/audit-self.yml (lines 81-87). These entries remain present in the current kickoff.md file (now at rev 6, §2 lines 66-99) under the per-stage split path getff-freshness-widening-s1/kickoff.md. The original path getff-freshness-widening/kickoff-s1.md does not exist (umbrella kickoffs split per stage), but the artifact lives on with both omitted entries now included."
kl-1317-1,C,MOVED,NONE-FOUND,.claude/orchestrator-prompts/getff-freshness-widening-s1/kickoff.md:81-92,"The finding cited two files forced by the change but missing from §2: .github/workflows/audit-self.yml (lines 81-87) and packages/core/ir/convention-node.schema.json (lines 88-92). PR #1317 added both files to §2 permitted-files list in rev 5, which remains present in the current rev 6 kickoff. The cited path .claude/orchestrator-prompts/getff-freshness-widening/kickoff-s1.md reflects the pre-split umbrella naming; the file lives today as getff-freshness-widening-s1/kickoff.md under the same parent directory, with both FORCED files now properly listed."
kl-1328-1,C,HOLDS,N/A,".claude/orchestrator-prompts/getff-freshness-widening-s1/kickoff.md:1,93,108","All three repairs from PR #1328 are present in the current getff-freshness-widening-s1/kickoff.md. The file shows REV 6 in its header and title (lines 1,3). Repair 1: packages/core/install/synth-and-wire.bundle.mjs added to §2 permitted files (lines 93-99). Repair 2: blanket PARK instruction gained two unparkable exceptions for §3-mandated files and generated twins (lines 108-115). Repair 3: topic-based references (""the lockfile-provenance SSOT row"") replaced numeric ""row 241"" pointers in §4 (line 236) and §5 T11/T12 (line 249) and §6 fork 5 (line 305), though historical ""row 241"" references remain in §0 (line 34) and §4 (line 233) where they describe r1 research. PR #1328 (commit 0f8aac7b37) is the latest revision and no subsequent changes exist."
kl-1295-1,A,MOVED,N/A,.claude/orchestrator-prompts/beta-delivery-ux/kickoff-s2.md:220,"The finding description misidentified the target file as S4 kickoff; PR #1295 (commit dbbea38a6f) actually added §8a ""Operator resolutions (2026-08-08 — re-dispatch rev; the six #1284 parks are ANSWERED)"" to the S2 kickoff file. The complete record is present today: all six fork resolutions (Park-1 through Park-6) are documented at lines 220-273 in kickoff-s2.md, with detailed binding decisions for preset schema/format, economy reviewer semantics, CC detection, marker values, and functional set shipping. Git log shows no later removals; the record has been present since 2026-08-08 and remains intact."
kl-1310-1,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md:260-298,"§7b added 2026-08-08 (PR #1310, commit 465a0da376) resolves the missing channel between §7a's key storage location and the reading process. Lines 285-295 specify the complete channel: make key value reachable in aif runtime's process environment under ANTHROPIC_AUTH_TOKEN, sourced from §7a #4(ii) file, mechanism left to implementer, verify reachability before ping. Original §7a parked env-var name and file path; §7b adds the required wiring step."
kl-1318-1,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md:319,"The §7d addendum from PR #1318 is present in the current kickoff-s4.md at line 319, documenting ""facts read on the host, where ~/code/aif-handoff exists and your container's checkout does not, plus the run-2 defects §7b/§7c did not cover."" The addendum supplies endpoint-level contract facts (§7d.1), corrects the falsified clone URL (§7d.2), lists the four red CI checks (§7d.3), and enumerates the two open MINORs (§7d.4). No subsequent edit moved this content; it remains in the original location with §7b-§7e sections intact."
kl-1319-1,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md:47-48,"The self-referential citation ""(§7e.1)"" and ""(§7e.1-§7e.3)"" at lines 47-48 is now valid because PR #1319 merged and created the §7e section. The citation that was self-referential at author time now points to an existing section (§7e.1 ""The §1 / §7a #1 host-path instruction is RETRACTED — probe instead"") which properly documents why the ~/code/aif-handoff/packages/api/src/routes/runtimeProfiles.ts path is unreachable from the container and must be probed via live API instead."
kl-1324-1,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md:522-551,"§7f run-4 dispatch facts section present (lines 522-551) with explicit ""not a re-plan"" statement; §7e design intact (lines 423-521); git history confirms PR #1324 added §7f (commit 49eaafe804) and both sections remain in current tree; no per-stage split occurred"
kl-1340-1,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md:536-543,"The fork was resolved by PR #1340 (commit 30ef50015a), which corrected §7f.2's false negative-existence claim. Both §7a #3's completion proof and §2 constraint 1's key-handling invariant were preserved - the resolution measured that POST /chat/sessions exists and aif makes calls using its own process.env, so no weakening was needed. This is documented in the current kickoff at lines 536-543 stating ""§7a #3 and §2 constraint 1 both hold; no amendment needed"" and proven via a billed call showing assistantMessage, costUsd, and runtime.profileId in the response."
kl-1351-1,A,HOLDS,NONE-FOUND,.claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.decisions.md:121-165,"PR #1351 (commit af14f91062) created the dedicated decisions file that records the operator's resolutions to both open questions from the unattended S4 run: §4 item 1 (live end-to-end on a clean machine) ACCEPTED AS MET, and §7a #3 recurring per-consumer spend ACCEPTED AS-IS. Both resolutions are durably recorded with full rationale, accepted risks, and falsifiers. The file exists today with no subsequent modifications, confirmed by git log showing no commits after af14f91062 touching either kickoff-s4.md or kickoff-s4.decisions.md."
